City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kurchum,48.5722,83.6542,4.21,59,100,8.9,KZ,1699816408
83,udachny,66.4167,112.4,-13.64,84,100,2.61,RU,1699816408
84,luanco,43.6152,-5.7934,18.34,78,90,2.66,ES,1699816408
85,labrador city,52.9463,-66.9114,-5.36,81,100,5.16,CA,1699816210
86,rosetta,31.4044,30.4164,22.87,78,2,5.05,EG,1699816409
87,goshainganj,26.5833,82.3833,20.33,52,0,1.69,IN,1699816410
88,nouadhibou,20.931,-17.0347,21.99,68,0,5.66,MR,1699816410
89,berdigestyakh,62.0989,126.6992,-14.18,92,100,4.93,RU,1699816410
90,talnakh,69.4865,88.3972,-2.66,95,100,5.26,RU,1699816411
91,port mathurin,-19.6833,63.4167,25.23,80,0,2.25,MU,1699816411
92,quelimane,-17.8786,36.8883,25.97,83,0,3.09,MZ,1699816412
93,san julian,21.0167,-102.1667,22.43,47,69,3.04,MX,1699816412
94,kingscliff,-28.2667,153.5667,20.89,68,38,5.66,AU,1699816412
95,badger,64.8,-147.5333,-7.07,79,100,2.57,US,1699816413
96,rio grande,-32.035,-52.0986,16.06,85,100,0.9,BR,1699816413
97,arteche,12.2645,125.4048,26.18,88,100,2.08,PH,1699816414
98,danville,36.586,-79.395,16.21,46,0,3.09,US,1699816414
99,kilindoni,-7.9139,39.6668,26.83,80,100,2.81,TZ,1699816414
100,saipan,15.1355,145.701,28.39,78,20,4.63,MP,1699816414
101,mogocha,53.7333,119.7667,-10.78,68,0,1.18,RU,1699816415
102,hawaiian paradise park,19.5933,-154.9731,26.61,74,75,0.45,US,1699816415
103,motygino,58.1831,94.7592,-10.12,93,100,0.45,RU,1699816415
104,entebbe,0.0644,32.4469,22.52,75,75,2.23,UG,1699816416
105,thompson,55.7435,-97.8558,-1.91,93,100,2.57,CA,1699816418
106,saint-joseph,-21.3667,55.6167,20.21,80,24,3.02,RE,1699816418
107,quellon,-43.1167,-73.6167,9.16,63,99,1.63,CL,1699816418
108,khandyga,62.6667,135.6,-22.62,99,100,0.71,RU,1699816419
109,inyati,-19.6756,28.8469,24.18,17,14,3.34,ZW,1699816419
110,avarua,-21.2078,-159.775,22.03,64,75,2.57,CK,1699816419
111,keflavik,64.0049,-22.5624,4.24,70,75,8.75,IS,1699816420
112,alice springs,-23.7,133.8833,22.75,68,98,4.12,AU,1699816421
113,nadi,-17.8,177.4167,25.0,83,75,2.57,FJ,1699816421
114,verkhnevilyuysk,63.4453,120.3167,-20.8,99,39,1.97,RU,1699816422
